26,https://www.wikidata.org/wiki/Property:P26,$s has spouse $o (symmetric),,,,,,,,,,,,,,,,,,,,,,,,,,,
fact,example,bool,example,bool_answer,example_output,set,example,set_projection,example_output,count,example,count_projection,example_output,argmin,example,argmin_projection,example_output,argmax,example,argmax_projection,example_output,min,example,min_projection,example_output,max,example,max_projection,example_output
$s has spouse $o,John has spouse Mary,Is $s partner of $o?,Is John partner of Mary?,TRUE,TRUE,Who are $s's spouses?,Who are John's spouses?,$o,Mary,How many people did $o marry?,How many people did Mary marry?,$s,John,,,,,,,,,,,,,,,,
$o has spouse $s,Mary has spouse John,Is $o $s's partner?,Is Mary John's partner?,TRUE,TRUE,Who is $s's spouse?,Who is John's spouse?,$o,Mary,How many people did $s marry?,How many people did John marry?,$o,Mary,,,,,,,,,,,,,,,,
$s is $o's spouse,John is Mary's spouse,Is $o $s's spouse?,Is Mary John's spouse?,TRUE,TRUE,Who are $o's spouses?,Who are Mary's spouses?,$s,John,How many partners has $s had?,How many partners has John had?,$o,Mary,,,,,,,,,,,,,,,,
$o is $s's spouse,Mary is John's spouse,Is $s $o's spouse?,Is John Mary's spouse?,TRUE,TRUE,Who is $o's spouse?,Who is Mary's spouse?,$s,John,How many partners does $s have?,How many partners does John have?,$s,John,,,,,,,,,,,,,,,,
,,Is $o partner of $s?,Is Mary partner of John?,TRUE,TRUE,List the spouses of $s,List the spouses of John,$o,Mary,How many partners does $o have?,How many partners does Mary have?,$s,John,,,,,,,,,,,,,,,,
,,,,,,List the spouses of $o,List the spouses of Mary,$s,John,How many partners has $o had?,How many partners has Mary had?,$o,Mary,,,,,,,,,,,,,,,,
,,,,,,Who is the spouse of $s?,Who is the spouse of John?,$o,Mary,,,,,,,,,,,,,,,,,,,,
,,,,,,Who is the spouse of $o?,Who is the spouse of Mary?,$s,John,,,,,,,,,,,,,,,,,,,,
,,,,,,Who is $s married to?,Who is John married to?,$o,Mary,,,,,,,,,,,,,,,,,,,,
,,,,,,Who married $s?,Who married John?,$o,Mary,,,,,,,,,,,,,,,,,,,,
,,,,,,Who is $o married to?,Who is Mary married to?,$s,John,,,,,,,,,,,,,,,,,,,,
,,,,,,Who married $o?,Who married Mary?,$s,John,,,,,,,,,,,,,,,,,,,,
,,,,,,List the partners of $o,List the partners of Mary,$s,John,,,,,,,,,,,,,,,,,,,,
,,,,,,List the partners of $s,List the partners of John,$o,Mary,,,,,,,,,,,,,,,,,,,,
,,,,,,List who $o is married to,List who Mary is married to,$s,John,,,,,,,,,,,,,,,,,,,,
,,,,,,List who $s is married to,List who John is married to,$o,Mary,,,,,,,,,,,,,,,,,,,,
